Lot_ID,Wafer_ID,Etching_Temperature_C,Doping_Time_s,Chemical_Concentration_ppm,Pressure_Pa,Yield_Percentage,Defect_Count,Failure_Rate,Machine_Age_days,Task_Status,Operating_Hours,Vibration_magnitude
1102,279,252.54729405704504,170.84745863011588,67.059866942746,51.85586827403556,85.17339264216747,3,0,0,Completed,2318.6873168853763,2.5696665533659155
1435,251,245.13019689032734,326.4664352867265,89.16208974317593,56.94151919571339,85.25860385438175,6,0,142,In Progress,3844.8694738675963,1.6382063474173219
1860,208,279.01948912853067,110.96321489446161,69.19571514347659,15.405105103571795,86.61207501653354,2,0,948,Completed,2211.1105156751173,3.2757899617122854
1270,140,261.49490979513075,322.5226416574327,120.2614409594139,49.86369035776329,92.34705269148431,2,0,93,In Progress,4354.63147084935,3.5223906325743735
1106,280,278.7884610671821,594.2023460779731,117.83261797532577,34.2124951330083,96.76779461223654,14,0,66,Delayed,4848.3979508029315,1.6298458325167409
1071,34,272.57095479267275,435.0533978611333,104.78976016990269,74.03991717697795,89.99155756855582,6,0,453,Completed,1054.7159708185482,3.9673150616601034
1700,18,293.8393121027309,479.8930606002023,119.81630368036552,74.5154669458224,88.06896460701591,0,0,990,In Progress,1465.7821470712458,0.7411619157697775
1020,57,278.5607017565752,159.50269535913128,113.95647806046739,117.1321763717105,95.8769547738211,7,0,4,In Progress,3040.238333460874,3.6130531213807413
1614,112,253.94849728745345,336.5504307450454,127.6442055684268,80.32083070488406,85.79335813602144,10,0,707,Completed,3492.046095498495,2.4562953017319367
1121,5,286.35936225687726,243.11155051285695,73.94066512905488,74.83142236525374,93.78070538077665,1,0,695,In Progress,4642.328753272056,3.297896748945492
1466,182,239.8963930370856,547.0487639945147,92.89126149407205,42.4276836380688,82.1161044145299,0,0,280,Delayed,3521.9884150847265,2.291002648512806
1214,13,198.3342451945202,190.64623600695626,65.16265293542287,129.34720142025483,82.26476532497182,5,0,330,Completed,4457.1846313621645,2.1999329839226602
1330,285,150.2836440267831,329.366663568371,92.9593564220194,22.74012679586067,92.88110953529373,3,0,61,Delayed,3089.3870705295753,1.1467676900836148
1458,259,261.99282942916864,394.02385917281885,120.16917514203412,147.52143509710007,81.65501028551203,6,0,938,Completed,3758.5378931819187,3.7076911957490464
1087,90,268.1310453217282,357.0205457892663,119.13911607843517,76.65049941920974,83.10102327900788,11,0,141,Completed,4694.05337643751,1.8504964372181245
1372,104,344.40979295514285,515.1217639852036,120.94269032949428,36.038179943401325,92.48738114320724,2,0,600,Completed,3709.886029700406,2.43646940037972
1099,186,222.29566681885512,215.7265856598202,80.87675286443564,59.605927807587605,88.76407394202651,10,0,368,Completed,2930.6398919594367,3.9118932489421656
1871,250,228.82664856566237,288.6955552118456,116.22139737909238,12.151825579230426,91.22592905758543,1,0,376,Delayed,3371.5098575560223,1.534848216967821
1663,255,190.35991626843804,496.04214828697627,86.74663195889381,33.31317509615316,99.53885825177791,11,0,435,Delayed,2721.1709074828923,2.5284286069201674
1130,76,164.10685904746438,364.03570586840243,144.44920461050498,56.947574703774805,92.63922075863918,14,0,538,Completed,1600.2007725240971,1.9363746521732406
1661,108,304.56089857234815,301.0586928239786,84.33663658803388,87.61813902527823,91.81701608502551,10,0,732,Completed,4080.6244934387073,3.7186874565339525
1308,156,199.936212867865,114.72125737241575,110.3018234044388,28.12731825027962,87.60276162786862,3,0,51,Delayed,2657.8152592599945,4.831549548685155
1769,82,271.7809722060076,476.6927120078047,125.0145714192176,104.63486146563618,92.61755189998826,3,0,767,Completed,1379.1030406427526,4.777481277136507
1343,77,287.5546071090963,586.0910389833801,140.64074290263412,128.19870859848515,80.25999051397481,10,0,232,Completed,3815.914959844458,2.7367060470070967
1491,258,244.24733745832953,410.143504744255,93.79286034539109,90.12754546634683,91.1464049868525,3,0,0,Delayed,4056.1885900905054,1.2605167610080188
1413,127,325.2704226054383,528.2706103443973,86.0485108208268,51.56620261153138,81.37794721021174,2,0,813,Delayed,1421.1030223594466,4.847487012093432
1805,282,238.75896819594576,358.4378715974631,93.0028175316589,26.994925568021998,84.40344493876775,6,0,388,Delayed,2823.4914760498523,4.510179650329929
1385,88,206.98172460835303,215.84048271168228,82.36963515497808,12.174908817752723,91.26242004373108,14,0,829,In Progress,2925.12467949497,1.213243632242147
1191,204,329.2031045923245,107.22105211757274,115.3924490067314,112.45232661976016,93.3590109701864,4,1,823,Completed,1938.0403440144476,1.730006064604682
1955,16,322.3128568499913,426.6991337949946,143.2716764008584,97.98711156378133,87.69593080801427,10,0,191,Delayed,4196.68642160404,0.99945023825046
1276,151,182.8079894152826,346.5544241241223,62.60710064893668,76.67967684495234,88.37959831978787,3,1,788,Completed,3123.0115023059016,4.802133418324533
1160,254,155.19220367078418,491.0490735438008,106.0922064770157,24.279377310819307,89.96044811627769,4,0,615,In Progress,3289.3056620042757,0.8185405648753195
1459,188,167.99711126992415,447.3412087176523,139.7648725360331,38.98352537695527,95.1814921548913,6,0,100,Delayed,2431.900237218164,2.2741826535531153
1313,32,207.3094797107634,593.9761841032823,60.01145446560176,124.1241225161299,80.35255543180334,3,0,225,Delayed,1982.0083269985448,4.270872564349652
1021,271,344.45196034834214,355.1562917060199,99.38654107662808,77.17920552285173,88.94135997510058,11,0,379,Completed,4208.689634688422,2.9438515476409153
1252,5,261.703230632165,313.5873948365047,136.5229595860446,144.79660034671218,80.28547195813653,12,0,833,Completed,3131.684828827619,2.8238464522279125
1747,169,224.65234640585376,243.3698447196475,140.04522117120825,149.99610063151752,86.38283721265566,13,0,503,Delayed,1963.5471784054723,2.2242294788494577
1856,181,327.74321892254926,338.4306458956372,101.43521611529165,122.09899769118229,90.39697242626448,9,0,428,Delayed,2704.4108882071027,0.5399196522122791
1560,178,240.62726629569994,536.435739061461,52.49518844677175,46.14570538699322,81.59838567334963,4,0,370,Completed,3223.174062289345,1.171800452189574
